<DATE>	<TIME>	<CLOSE>
2025.03.03	14:30:00	243.22999572753906
2025.03.03	14:35:00	242.8800048828125
2025.03.03	14:40:00	243.10499572753906
2025.03.03	14:45:00	241.8000030517578
2025.03.03	14:50:00	241.22000122070312
2025.03.03	14:55:00	240.82000732421875
2025.03.03	15:00:00	240.89500427246094
2025.03.03	15:05:00	240.3000030517578
2025.03.03	15:10:00	240.4600067138672
2025.03.03	15:15:00	240.25999450683594
2025.03.03	15:20:00	240.97000122070312
2025.03.03	15:25:00	241.48500061035156
2025.03.03	15:30:00	241.97500610351562
2025.03.03	15:35:00	241.69000244140625
2025.03.03	15:40:00	242.4552001953125
2025.03.03	15:45:00	241.67010498046875
2025.03.03	15:50:00	241.69000244140625
2025.03.03	15:55:00	241.1999969482422
2025.03.03	16:00:00	241.58999633789062
2025.03.03	16:05:00	241.63999938964844
2025.03.03	16:10:00	241.84030151367188
2025.03.03	16:15:00	242.06570434570312
2025.03.03	16:20:00	242.52000427246094
2025.03.03	16:25:00	241.19000244140625
2025.03.03	16:30:00	241.32000732421875
2025.03.03	16:35:00	240.8800048828125
2025.03.03	16:40:00	240.92080688476562
2025.03.03	16:45:00	241.42999267578125
2025.03.03	16:50:00	241.71499633789062
2025.03.03	16:55:00	241.81500244140625
2025.03.03	17:00:00	241.6699981689453
2025.03.03	17:05:00	241.9405975341797
2025.03.03	17:10:00	242.17999267578125
2025.03.03	17:15:00	242.3000030517578
2025.03.03	17:20:00	242.38499450683594
2025.03.03	17:25:00	242.5399932861328
2025.03.03	17:30:00	242.64999389648438
2025.03.03	17:35:00	242.7852020263672
2025.03.03	17:40:00	242.7100067138672
2025.03.03	17:45:00	242.52499389648438
2025.03.03	17:50:00	242.3350067138672
2025.03.03	17:55:00	242.3300018310547
2025.03.03	18:00:00	241.94500732421875
2025.03.03	18:05:00	241.3699951171875
2025.03.03	18:10:00	241.19569396972656
2025.03.03	18:15:00	241.625
2025.03.03	18:20:00	241.60000610351562
2025.03.03	18:25:00	240.96499633789062
2025.03.03	18:30:00	240.76280212402344
2025.03.03	18:35:00	240.80999755859375
2025.03.03	18:40:00	240.9499969482422
2025.03.03	18:45:00	240.85000610351562
2025.03.03	18:50:00	241.25
2025.03.03	18:55:00	241.32000732421875
2025.03.03	19:00:00	241.65499877929688
2025.03.03	19:05:00	241.55499267578125
2025.03.03	19:10:00	241.45350646972656
2025.03.03	19:15:00	240.99000549316406
2025.03.03	19:20:00	241.20289611816406
2025.03.03	19:25:00	241.15179443359375
2025.03.03	19:30:00	241.52999877929688
2025.03.03	19:35:00	241.5399932861328
2025.03.03	19:40:00	241.83999633789062
2025.03.03	19:45:00	241.0800018310547
2025.03.03	19:50:00	240.22999572753906
