<DATE>	<TIME>	<CLOSE>
2025.03.01	00:00:00	84253.90625
2025.03.01	00:05:00	84312.9765625
2025.03.01	00:10:00	84403.828125
2025.03.01	00:15:00	84410.5546875
2025.03.01	00:20:00	84400.6484375
2025.03.01	00:25:00	84260.9765625
2025.03.01	00:30:00	84137.8828125
2025.03.01	00:35:00	84084.703125
2025.03.01	00:40:00	84019.9140625
2025.03.01	00:45:00	84038.1015625
2025.03.01	00:50:00	83862.9765625
2025.03.01	00:55:00	83832.046875
2025.03.01	01:00:00	83912.328125
2025.03.01	01:05:00	83924.140625
2025.03.01	01:10:00	83955.4140625
2025.03.01	01:15:00	83994.9296875
2025.03.01	01:20:00	83989.3203125
2025.03.01	01:25:00	83825.2421875
2025.03.01	01:30:00	83922.984375
2025.03.01	01:35:00	83974.6171875
2025.03.01	01:40:00	84311.296875
2025.03.01	01:45:00	84453.4375
2025.03.01	01:50:00	84523.7890625
2025.03.01	01:55:00	84626.71875
2025.03.01	02:00:00	84357.3359375
2025.03.01	02:05:00	84341.359375
2025.03.01	02:10:00	84679.484375
2025.03.01	02:15:00	84549.546875
2025.03.01	02:20:00	84749.375
2025.03.01	02:25:00	84950.6796875
2025.03.01	02:30:00	85315.375
2025.03.01	02:35:00	85300.0078125
2025.03.01	02:40:00	85265.96875
2025.03.01	02:45:00	85338.6015625
2025.03.01	02:50:00	85412.671875
2025.03.01	02:55:00	85215.453125
2025.03.01	03:00:00	85282.6796875
2025.03.01	03:05:00	84989.2734375
2025.03.01	03:10:00	85020.03125
2025.03.01	03:15:00	84956.390625
2025.03.01	03:20:00	84945.03125
2025.03.01	03:25:00	84951.78125
2025.03.01	03:30:00	85132.109375
2025.03.01	03:35:00	85272.0546875
2025.03.01	03:40:00	85319.9140625
2025.03.01	03:45:00	85266.0859375
2025.03.01	03:50:00	85363.21875
2025.03.01	03:55:00	85235.5546875
2025.03.01	04:00:00	85354.328125
2025.03.01	04:05:00	85461.6875
2025.03.01	04:10:00	85817.203125
2025.03.01	04:15:00	85778.4375
2025.03.01	04:20:00	85881.2578125
2025.03.01	04:25:00	85890.6015625
2025.03.01	04:30:00	85899.3359375
2025.03.01	04:35:00	86451.8671875
2025.03.01	04:40:00	86483.265625
2025.03.01	04:45:00	86241.390625
2025.03.01	04:50:00	86054.984375
2025.03.01	04:55:00	86208.6953125
2025.03.01	05:00:00	86087.7421875
2025.03.01	05:05:00	86069.0703125
2025.03.01	05:10:00	85957.3515625
2025.03.01	05:15:00	85947.546875
2025.03.01	05:20:00	85771.5625
2025.03.01	05:25:00	85798.75
2025.03.01	05:30:00	85718.3359375
2025.03.01	05:35:00	85826.515625
2025.03.01	05:40:00	85733.078125
2025.03.01	05:45:00	85644.15625
2025.03.01	05:50:00	85674.359375
2025.03.01	05:55:00	85599.203125
2025.03.01	06:00:00	85503.46875
2025.03.01	06:05:00	85557.1484375
2025.03.01	06:10:00	85412.8046875
2025.03.01	06:15:00	85397.203125
2025.03.01	06:20:00	85356.953125
2025.03.01	06:25:00	85263.234375
2025.03.01	06:30:00	85013.7890625
2025.03.01	06:35:00	84981.265625
2025.03.01	06:40:00	84982.7578125
2025.03.01	06:45:00	85018.65625
2025.03.01	06:50:00	84992.203125
2025.03.01	06:55:00	85017.71875
2025.03.01	07:00:00	84970.40625
2025.03.01	07:05:00	84943.984375
2025.03.01	07:10:00	84934.359375
2025.03.01	07:15:00	84930.7265625
2025.03.01	07:20:00	84965.8203125
2025.03.01	07:25:00	84992.21875
2025.03.01	07:30:00	84942.53125
2025.03.01	07:35:00	84866.2265625
2025.03.01	07:40:00	84810.9296875
2025.03.01	07:45:00	84847.1171875
2025.03.01	07:50:00	84830.3984375
2025.03.01	07:55:00	84726.09375
2025.03.01	08:00:00	84890.734375
2025.03.01	08:05:00	84973.703125
2025.03.01	08:10:00	84967.359375
2025.03.01	08:15:00	85104.65625
2025.03.01	08:20:00	85208.1640625
2025.03.01	08:25:00	85210.46875
2025.03.01	08:30:00	85222.625
2025.03.01	08:35:00	85213.8828125
2025.03.01	08:40:00	85059.7734375
2025.03.01	08:45:00	85051.015625
2025.03.01	08:50:00	85238.5234375
2025.03.01	08:55:00	85285.6953125
2025.03.01	09:00:00	85257.1015625
2025.03.01	09:05:00	85297.4609375
2025.03.01	09:10:00	85335.9765625
2025.03.01	09:15:00	85415.09375
2025.03.01	09:20:00	85402.734375
2025.03.01	09:25:00	85429.875
2025.03.01	09:30:00	85364.09375
2025.03.01	09:35:00	85310.25
2025.03.01	09:40:00	85263.6015625
2025.03.01	09:45:00	85097.1484375
2025.03.01	09:50:00	85311.15625
2025.03.01	09:55:00	85324.2734375
2025.03.01	10:00:00	85211.1171875
2025.03.01	10:05:00	85137.859375
2025.03.01	10:10:00	85120.6953125
2025.03.01	10:15:00	85094.4765625
2025.03.01	10:20:00	84971.921875
2025.03.01	10:25:00	85226.5625
2025.03.01	10:30:00	85139.53125
2025.03.01	10:35:00	85012.515625
2025.03.01	10:40:00	85021.953125
2025.03.01	10:45:00	85013.703125
2025.03.01	10:50:00	84928.1015625
2025.03.01	10:55:00	84791.40625
2025.03.01	11:00:00	84691.65625
2025.03.01	11:05:00	84694.546875
2025.03.01	11:10:00	84665.21875
2025.03.01	11:15:00	84403.28125
2025.03.01	11:20:00	84456.640625
2025.03.01	11:25:00	84457.96875
2025.03.01	11:30:00	84530.546875
2025.03.01	11:35:00	84575.0078125
2025.03.01	11:40:00	84647.4921875
2025.03.01	11:45:00	84588.9609375
2025.03.01	11:50:00	84601.3359375
2025.03.01	11:55:00	84591.546875
2025.03.01	12:00:00	84575.53125
2025.03.01	12:05:00	84571.2109375
2025.03.01	12:10:00	84564.3203125
2025.03.01	12:15:00	84632.984375
2025.03.01	12:20:00	84651.1953125
2025.03.01	12:25:00	84503.5703125
2025.03.01	12:30:00	84537.5546875
2025.03.01	12:35:00	84588.90625
2025.03.01	12:40:00	84646.859375
2025.03.01	12:45:00	84727.2734375
2025.03.01	12:50:00	84803.3125
2025.03.01	12:55:00	84754.9609375
2025.03.01	13:00:00	84862.359375
2025.03.01	13:05:00	84735.8125
2025.03.01	13:10:00	84623.1640625
2025.03.01	13:15:00	84452.0078125
2025.03.01	13:20:00	84455.734375
2025.03.01	13:25:00	84399.671875
2025.03.01	13:30:00	84457.7421875
2025.03.01	13:35:00	84524.4296875
2025.03.01	13:40:00	84404.1640625
2025.03.01	13:45:00	84362.6875
2025.03.01	13:50:00	84396.5703125
2025.03.01	13:55:00	84457.3203125
2025.03.01	14:00:00	84516.828125
2025.03.01	14:05:00	84634.875
2025.03.01	14:10:00	84706.71875
2025.03.01	14:15:00	84477.8828125
2025.03.01	14:20:00	84654.78125
2025.03.01	14:25:00	84529.2265625
2025.03.01	14:30:00	84416.390625
2025.03.01	14:35:00	84433.2734375
2025.03.01	14:40:00	84569.7421875
2025.03.01	14:45:00	84573.2421875
2025.03.01	14:50:00	84562.6875
2025.03.01	14:55:00	84664.78125
2025.03.01	15:00:00	84609.703125
2025.03.01	15:05:00	84734.734375
2025.03.01	15:10:00	84738.2265625
2025.03.01	15:15:00	84769.828125
2025.03.01	15:20:00	84600.953125
2025.03.01	15:25:00	84730.4609375
2025.03.01	15:30:00	84594.21875
2025.03.01	15:35:00	84650.46875
2025.03.01	15:40:00	84632.046875
2025.03.01	15:45:00	84604.484375
2025.03.01	15:50:00	84676.90625
2025.03.01	15:55:00	84757.4921875
2025.03.01	16:00:00	84671.75
2025.03.01	16:05:00	84837.7109375
2025.03.01	16:10:00	84836.40625
2025.03.01	16:15:00	84960.1015625
2025.03.01	16:20:00	84923.796875
2025.03.01	16:25:00	84967.9765625
2025.03.01	16:30:00	84954.1171875
2025.03.01	16:35:00	84955.6484375
2025.03.01	16:40:00	85023.2109375
2025.03.01	16:45:00	84916.8671875
2025.03.01	16:50:00	84985.15625
2025.03.01	16:55:00	85178.40625
2025.03.01	17:00:00	85015.625
2025.03.01	17:05:00	85047.0
2025.03.01	17:10:00	85008.5234375
2025.03.01	17:15:00	84994.9921875
2025.03.01	17:20:00	85177.1171875
2025.03.01	17:25:00	85048.0234375
2025.03.01	17:30:00	85015.125
2025.03.01	17:35:00	85061.546875
2025.03.01	17:40:00	85195.109375
2025.03.01	17:45:00	85178.0546875
2025.03.01	17:50:00	85270.71875
2025.03.01	17:55:00	85179.8828125
2025.03.01	18:00:00	85228.3984375
2025.03.01	18:05:00	85107.0390625
2025.03.01	18:10:00	85129.6484375
2025.03.01	18:15:00	85105.5
2025.03.01	18:20:00	85070.3359375
2025.03.01	18:25:00	85099.78125
2025.03.01	18:30:00	85179.4453125
2025.03.01	18:35:00	85136.5234375
2025.03.01	18:40:00	85201.671875
2025.03.01	18:45:00	85189.34375
2025.03.01	18:50:00	85254.484375
2025.03.01	18:55:00	85269.2578125
2025.03.01	19:00:00	85224.4375
2025.03.01	19:05:00	85255.609375
2025.03.01	19:10:00	85202.078125
2025.03.01	19:15:00	85275.6640625
2025.03.01	19:20:00	85214.65625
2025.03.01	19:25:00	85285.4453125
2025.03.01	19:30:00	85382.0078125
2025.03.01	19:35:00	85220.7265625
2025.03.01	19:40:00	85322.6640625
2025.03.01	19:45:00	85404.515625
2025.03.01	19:50:00	85362.0234375
2025.03.01	19:55:00	85425.2734375
2025.03.01	20:00:00	85359.0234375
2025.03.01	20:05:00	85360.203125
2025.03.01	20:10:00	85361.6796875
2025.03.01	20:15:00	85484.609375
2025.03.01	20:20:00	85477.7265625
2025.03.01	20:25:00	85441.125
2025.03.01	20:30:00	85451.0859375
2025.03.01	20:35:00	85483.625
2025.03.01	20:40:00	85476.3671875
2025.03.01	20:45:00	85510.1328125
2025.03.01	20:50:00	85512.4921875
2025.03.01	20:55:00	85453.6015625
2025.03.01	21:00:00	85455.5703125
2025.03.01	21:05:00	85470.515625
2025.03.01	21:10:00	85347.515625
2025.03.01	21:15:00	85380.6953125
2025.03.01	21:20:00	85417.25
2025.03.01	21:25:00	85514.15625
2025.03.01	21:30:00	85564.625
2025.03.01	21:35:00	85594.1796875
2025.03.01	21:40:00	85593.0234375
2025.03.01	21:45:00	85679.328125
2025.03.01	21:50:00	85792.9921875
2025.03.01	21:55:00	85966.1484375
2025.03.01	22:00:00	86065.46875
2025.03.01	22:05:00	86076.546875
2025.03.01	22:10:00	86004.9296875
2025.03.01	22:15:00	85831.3671875
2025.03.01	22:20:00	85840.3828125
2025.03.01	22:25:00	85830.9296875
2025.03.01	22:30:00	85767.9765625
2025.03.01	22:35:00	85734.1875
2025.03.01	22:40:00	85889.6953125
2025.03.01	22:45:00	85964.046875
2025.03.01	22:50:00	86012.7265625
2025.03.01	22:55:00	86079.546875
2025.03.01	23:00:00	86076.140625
2025.03.01	23:05:00	85867.5546875
2025.03.01	23:10:00	85900.328125
2025.03.01	23:15:00	85767.1328125
2025.03.01	23:20:00	85650.8984375
2025.03.01	23:25:00	85686.2578125
2025.03.01	23:30:00	85806.6953125
