<DATE>	<TIME>	<CLOSE>
2025.04.01	13:30:00	41776.3515625
2025.04.01	13:35:00	41774.6015625
2025.04.01	13:40:00	41712.4609375
2025.04.01	13:45:00	41803.94921875
2025.04.01	13:50:00	41833.7109375
2025.04.01	13:55:00	41759.3203125
2025.04.01	14:00:00	41649.55078125
2025.04.01	14:05:00	41603.19921875
2025.04.01	14:10:00	41528.71875
2025.04.01	14:15:00	41550.1015625
2025.04.01	14:20:00	41605.8515625
2025.04.01	14:25:00	41610.30859375
2025.04.01	14:30:00	41631.578125
2025.04.01	14:35:00	41725.828125
2025.04.01	14:40:00	41789.51171875
2025.04.01	14:45:00	41807.51171875
2025.04.01	14:50:00	41901.3515625
2025.04.01	14:55:00	41938.671875
2025.04.01	15:00:00	41973.08984375
2025.04.01	15:05:00	42012.6015625
2025.04.01	15:10:00	42043.1015625
2025.04.01	15:15:00	42073.421875
2025.04.01	15:20:00	42091.609375
2025.04.01	15:25:00	42047.01953125
2025.04.01	15:30:00	42040.48828125
2025.04.01	15:35:00	42047.30859375
2025.04.01	15:40:00	42057.48828125
2025.04.01	15:45:00	42074.78125
2025.04.01	15:50:00	42040.75
2025.04.01	15:55:00	42064.390625
2025.04.01	16:00:00	42104.4296875
2025.04.01	16:05:00	42104.671875
2025.04.01	16:10:00	42097.5703125
2025.04.01	16:15:00	42117.140625
2025.04.01	16:20:00	42103.23046875
2025.04.01	16:25:00	42008.08984375
2025.04.01	16:30:00	41971.25
2025.04.01	16:35:00	41934.4296875
2025.04.01	16:40:00	41933.26953125
2025.04.01	16:45:00	41960.69140625
2025.04.01	16:50:00	42023.44140625
2025.04.01	16:55:00	42011.8984375
2025.04.01	17:00:00	42008.37890625
2025.04.01	17:05:00	41980.12109375
2025.04.01	17:10:00	42001.21875
2025.04.01	17:15:00	41931.23828125
2025.04.01	17:20:00	41915.8984375
2025.04.01	17:25:00	41891.21875
2025.04.01	17:30:00	41870.828125
2025.04.01	17:35:00	41903.08984375
2025.04.01	17:40:00	41884.46875
2025.04.01	17:45:00	41922.9296875
2025.04.01	17:50:00	41902.6796875
2025.04.01	17:55:00	41874.1015625
2025.04.01	18:00:00	41796.921875
2025.04.01	18:05:00	41772.8984375
2025.04.01	18:10:00	41792.37890625
2025.04.01	18:15:00	41757.44921875
2025.04.01	18:20:00	41719.1796875
2025.04.01	18:25:00	41736.8515625
2025.04.01	18:30:00	41742.08984375
2025.04.01	18:35:00	41716.23828125
2025.04.01	18:40:00	41756.7890625
2025.04.01	18:45:00	41710.171875
2025.04.01	18:50:00	41725.69921875
2025.04.01	18:55:00	41794.30859375
2025.04.01	19:00:00	41814.26953125
2025.04.01	19:05:00	41806.30078125
2025.04.01	19:10:00	41831.76953125
2025.04.01	19:15:00	41831.4296875
2025.04.01	19:20:00	41879.30859375
2025.04.01	19:25:00	41857.26953125
2025.04.01	19:30:00	41893.5703125
2025.04.01	19:35:00	41909.46875
2025.04.01	19:40:00	41918.9609375
