<DATE>	<TIME>	<CLOSE>
2025.04.01	13:30:00	5589.509765625
2025.04.01	13:35:00	5592.2001953125
2025.04.01	13:40:00	5590.77978515625
2025.04.01	13:45:00	5605.85009765625
2025.04.01	13:50:00	5603.14990234375
2025.04.01	13:55:00	5598.85009765625
2025.04.01	14:00:00	5584.2900390625
2025.04.01	14:05:00	5575.81982421875
2025.04.01	14:10:00	5564.740234375
2025.04.01	14:15:00	5564.080078125
2025.04.01	14:20:00	5574.41015625
2025.04.01	14:25:00	5574.14990234375
2025.04.01	14:30:00	5578.52001953125
2025.04.01	14:35:00	5593.330078125
2025.04.01	14:40:00	5601.77978515625
2025.04.01	14:45:00	5602.39013671875
2025.04.01	14:50:00	5613.35009765625
2025.04.01	14:55:00	5618.7001953125
2025.04.01	15:00:00	5621.080078125
2025.04.01	15:05:00	5627.2998046875
2025.04.01	15:10:00	5631.06005859375
2025.04.01	15:15:00	5634.64990234375
2025.04.01	15:20:00	5638.89013671875
2025.04.01	15:25:00	5630.83984375
2025.04.01	15:30:00	5630.72998046875
2025.04.01	15:35:00	5629.9501953125
2025.04.01	15:40:00	5632.83984375
2025.04.01	15:45:00	5636.9599609375
2025.04.01	15:50:00	5632.27001953125
2025.04.01	15:55:00	5637.3701171875
2025.04.01	16:00:00	5642.39990234375
2025.04.01	16:05:00	5644.52001953125
2025.04.01	16:10:00	5643.91015625
2025.04.01	16:15:00	5648.0400390625
2025.04.01	16:20:00	5643.5400390625
2025.04.01	16:25:00	5629.85009765625
2025.04.01	16:30:00	5625.259765625
2025.04.01	16:35:00	5619.009765625
2025.04.01	16:40:00	5617.18017578125
2025.04.01	16:45:00	5623.1201171875
2025.04.01	16:50:00	5632.18017578125
2025.04.01	16:55:00	5628.81005859375
2025.04.01	17:00:00	5629.9501953125
2025.04.01	17:05:00	5625.1298828125
2025.04.01	17:10:00	5628.830078125
2025.04.01	17:15:00	5619.68994140625
2025.04.01	17:20:00	5618.72021484375
2025.04.01	17:25:00	5615.56005859375
2025.04.01	17:30:00	5613.2099609375
2025.04.01	17:35:00	5618.52978515625
2025.04.01	17:40:00	5615.35009765625
2025.04.01	17:45:00	5620.85009765625
2025.04.01	17:50:00	5617.259765625
2025.04.01	17:55:00	5612.06005859375
2025.04.01	18:00:00	5599.72021484375
2025.04.01	18:05:00	5595.1201171875
2025.04.01	18:10:00	5598.740234375
2025.04.01	18:15:00	5592.0498046875
2025.04.01	18:20:00	5585.60986328125
2025.04.01	18:25:00	5588.72021484375
2025.04.01	18:30:00	5590.10009765625
2025.04.01	18:35:00	5586.97021484375
2025.04.01	18:40:00	5593.27001953125
2025.04.01	18:45:00	5586.14013671875
2025.04.01	18:50:00	5589.75
2025.04.01	18:55:00	5598.0400390625
2025.04.01	19:00:00	5600.52001953125
2025.04.01	19:05:00	5598.740234375
2025.04.01	19:10:00	5602.47021484375
2025.04.01	19:15:00	5603.43994140625
2025.04.01	19:20:00	5609.6201171875
2025.04.01	19:25:00	5606.4599609375
2025.04.01	19:30:00	5614.64013671875
2025.04.01	19:35:00	5618.419921875
2025.04.01	19:40:00	5620.93017578125
2025.04.01	19:45:00	5625.72021484375
2025.04.01	19:50:00	5632.56005859375
2025.04.01	19:55:00	5632.919921875
2025.04.02	13:30:00	5591.89990234375
2025.04.02	13:35:00	5605.91015625
2025.04.02	13:40:00	5610.5
2025.04.02	13:45:00	5616.3701171875
2025.04.02	13:50:00	5608.2900390625
2025.04.02	13:55:00	5611.06982421875
2025.04.02	14:00:00	5625.7998046875
2025.04.02	14:05:00	5611.97021484375
2025.04.02	14:10:00	5613.22998046875
2025.04.02	14:15:00	5623.31005859375
2025.04.02	14:20:00	5627.85986328125
2025.04.02	14:25:00	5629.89990234375
2025.04.02	14:30:00	5631.6201171875
2025.04.02	14:35:00	5631.64013671875
2025.04.02	14:40:00	5629.5
2025.04.02	14:45:00	5634.27978515625
2025.04.02	14:50:00	5634.56005859375
2025.04.02	14:55:00	5642.7001953125
2025.04.02	15:00:00	5641.009765625
2025.04.02	15:05:00	5642.41015625
2025.04.02	15:10:00	5633.259765625
2025.04.02	15:15:00	5636.06982421875
2025.04.02	15:20:00	5649.7099609375
2025.04.02	15:25:00	5655.2001953125
2025.04.02	15:30:00	5658.5
2025.04.02	15:35:00	5656.06982421875
2025.04.02	15:40:00	5646.43017578125
2025.04.02	15:45:00	5638.72021484375
2025.04.02	15:50:00	5639.919921875
2025.04.02	15:55:00	5644.759765625
2025.04.02	16:00:00	5644.83984375
2025.04.02	16:05:00	5648.7900390625
2025.04.02	16:10:00	5657.35009765625
2025.04.02	16:15:00	5658.169921875
2025.04.02	16:20:00	5660.7001953125
2025.04.02	16:25:00	5664.35986328125
2025.04.02	16:30:00	5666.0400390625
2025.04.02	16:35:00	5661.490234375
2025.04.02	16:40:00	5666.6201171875
2025.04.02	16:45:00	5677.830078125
2025.04.02	16:50:00	5676.7998046875
2025.04.02	16:55:00	5678.27978515625
2025.04.02	17:00:00	5683.56982421875
2025.04.02	17:05:00	5686.16015625
2025.04.02	17:10:00	5691.1201171875
2025.04.02	17:15:00	5688.68017578125
2025.04.02	17:20:00	5686.85009765625
2025.04.02	17:25:00	5682.8701171875
2025.04.02	17:30:00	5676.60009765625
2025.04.02	17:35:00	5673.93994140625
2025.04.02	17:40:00	5666.91015625
2025.04.02	17:45:00	5660.31005859375
2025.04.02	17:50:00	5659.31982421875
2025.04.02	17:55:00	5661.7998046875
2025.04.02	18:00:00	5656.72021484375
2025.04.02	18:05:00	5650.81982421875
2025.04.02	18:10:00	5651.47021484375
2025.04.02	18:15:00	5646.33984375
2025.04.02	18:20:00	5642.08984375
2025.04.02	18:25:00	5634.10986328125
2025.04.02	18:30:00	5642.02978515625
2025.04.02	18:35:00	5653.64013671875
2025.04.02	18:40:00	5654.919921875
2025.04.02	18:45:00	5654.22021484375
2025.04.02	18:50:00	5650.08984375
2025.04.02	18:55:00	5633.2998046875
2025.04.02	19:00:00	5648.85986328125
2025.04.02	19:05:00	5647.81982421875
2025.04.02	19:10:00	5643.10986328125
2025.04.02	19:15:00	5641.58984375
2025.04.02	19:20:00	5649.35009765625
2025.04.02	19:25:00	5653.10009765625
2025.04.02	19:30:00	5663.60009765625
2025.04.02	19:35:00	5662.1201171875
2025.04.02	19:40:00	5668.39013671875
2025.04.02	19:45:00	5674.43994140625
2025.04.02	19:50:00	5672.77001953125
2025.04.02	19:55:00	5669.25
2025.04.03	13:30:00	5494.35009765625
2025.04.03	13:35:00	5496.27978515625
2025.04.03	13:40:00	5483.97998046875
2025.04.03	13:45:00	5472.919921875
2025.04.03	13:50:00	5476.509765625
2025.04.03	13:55:00	5471.0400390625
2025.04.03	14:00:00	5452.10986328125
2025.04.03	14:05:00	5450.27978515625
2025.04.03	14:10:00	5445.9599609375
2025.04.03	14:15:00	5444.2998046875
2025.04.03	14:20:00	5439.740234375
2025.04.03	14:25:00	5451.7998046875
2025.04.03	14:30:00	5447.8798828125
2025.04.03	14:35:00	5443.2099609375
2025.04.03	14:40:00	5442.1298828125
2025.04.03	14:45:00	5428.31005859375
2025.04.03	14:50:00	5426.22998046875
2025.04.03	14:55:00	5421.97998046875
2025.04.03	15:00:00	5426.35986328125
2025.04.03	15:05:00	5421.0
2025.04.03	15:10:00	5434.89013671875
2025.04.03	15:15:00	5442.56982421875
2025.04.03	15:20:00	5439.81982421875
2025.04.03	15:25:00	5438.419921875
2025.04.03	15:30:00	5448.7099609375
2025.04.03	15:35:00	5455.77978515625
2025.04.03	15:40:00	5459.52978515625
2025.04.03	15:45:00	5452.2099609375
2025.04.03	15:50:00	5453.97998046875
2025.04.03	15:55:00	5455.7900390625
2025.04.03	16:00:00	5459.06982421875
2025.04.03	16:05:00	5457.830078125
2025.04.03	16:10:00	5470.83984375
2025.04.03	16:15:00	5476.9599609375
2025.04.03	16:20:00	5476.85986328125
2025.04.03	16:25:00	5479.06005859375
2025.04.03	16:30:00	5463.5400390625
2025.04.03	16:35:00	5463.22021484375
2025.04.03	16:40:00	5466.72998046875
2025.04.03	16:45:00	5469.64013671875
2025.04.03	16:50:00	5454.509765625
2025.04.03	16:55:00	5454.89990234375
2025.04.03	17:00:00	5455.6201171875
2025.04.03	17:05:00	5454.5400390625
2025.04.03	17:10:00	5455.419921875
2025.04.03	17:15:00	5451.2998046875
2025.04.03	17:20:00	5444.35009765625
2025.04.03	17:25:00	5443.08984375
2025.04.03	17:30:00	5446.2900390625
2025.04.03	17:35:00	5452.169921875
2025.04.03	17:40:00	5455.6298828125
2025.04.03	17:45:00	5449.5498046875
2025.04.03	17:50:00	5447.22021484375
2025.04.03	17:55:00	5439.3701171875
2025.04.03	18:00:00	5438.7900390625
2025.04.03	18:05:00	5435.83984375
2025.04.03	18:10:00	5428.25
2025.04.03	18:15:00	5426.8701171875
2025.04.03	18:20:00	5427.5498046875
2025.04.03	18:25:00	5427.81005859375
2025.04.03	18:30:00	5423.77001953125
2025.04.03	18:35:00	5432.89013671875
2025.04.03	18:40:00	5439.75
2025.04.03	18:45:00	5441.990234375
2025.04.03	18:50:00	5438.2099609375
2025.04.03	18:55:00	5439.33984375
2025.04.03	19:00:00	5435.669921875
2025.04.03	19:05:00	5434.9599609375
2025.04.03	19:10:00	5430.27978515625
2025.04.03	19:15:00	5415.5400390625
2025.04.03	19:20:00	5414.830078125
2025.04.03	19:25:00	5410.81982421875
2025.04.03	19:30:00	5404.16015625
2025.04.03	19:35:00	5407.419921875
2025.04.03	19:40:00	5414.64013671875
2025.04.03	19:45:00	5401.4599609375
2025.04.03	19:50:00	5405.60986328125
2025.04.03	19:55:00	5398.31005859375
2025.04.04	13:30:00	5253.3701171875
2025.04.04	13:35:00	5233.91015625
2025.04.04	13:40:00	5218.68017578125
2025.04.04	13:45:00	5230.580078125
2025.04.04	13:50:00	5230.25
2025.04.04	13:55:00	5251.509765625
2025.04.04	14:00:00	5238.1201171875
2025.04.04	14:05:00	5215.9599609375
2025.04.04	14:10:00	5201.75
2025.04.04	14:15:00	5204.56982421875
2025.04.04	14:20:00	5194.77001953125
2025.04.04	14:25:00	5180.64990234375
2025.04.04	14:30:00	5174.009765625
2025.04.04	14:35:00	5177.25
2025.04.04	14:40:00	5165.0400390625
2025.04.04	14:45:00	5131.759765625
2025.04.04	14:50:00	5160.02001953125
2025.04.04	14:55:00	5173.080078125
2025.04.04	15:00:00	5221.8701171875
2025.04.04	15:05:00	5203.080078125
2025.04.04	15:10:00	5205.1201171875
2025.04.04	15:15:00	5219.16015625
2025.04.04	15:20:00	5232.16015625
2025.04.04	15:25:00	5182.93017578125
2025.04.04	15:30:00	5183.06982421875
2025.04.04	15:35:00	5166.75
2025.04.04	15:40:00	5178.580078125
2025.04.04	15:45:00	5195.9599609375
2025.04.04	15:50:00	5183.89013671875
2025.04.04	15:55:00	5167.6298828125
2025.04.04	16:00:00	5173.0400390625
2025.04.04	16:05:00	5174.169921875
2025.04.04	16:10:00	5184.14990234375
2025.04.04	16:15:00	5152.4501953125
2025.04.04	16:20:00	5146.14013671875
2025.04.04	16:25:00	5141.7998046875
2025.04.04	16:30:00	5131.43017578125
2025.04.04	16:35:00	5155.14990234375
2025.04.04	16:40:00	5140.3701171875
2025.04.04	16:45:00	5133.740234375
2025.04.04	16:50:00	5139.56005859375
2025.04.04	16:55:00	5139.990234375
2025.04.04	17:00:00	5143.06005859375
2025.04.04	17:05:00	5133.16015625
2025.04.04	17:10:00	5115.16015625
2025.04.04	17:15:00	5112.81005859375
2025.04.04	17:20:00	5125.39013671875
2025.04.04	17:25:00	5129.97998046875
2025.04.04	17:30:00	5131.93017578125
2025.04.04	17:35:00	5151.419921875
2025.04.04	17:40:00	5145.93994140625
2025.04.04	17:45:00	5163.580078125
2025.04.04	17:50:00	5152.830078125
2025.04.04	17:55:00	5163.14990234375
2025.04.04	18:00:00	5165.33984375
2025.04.04	18:05:00	5145.27978515625
2025.04.04	18:10:00	5134.2998046875
2025.04.04	18:15:00	5120.56005859375
2025.04.04	18:20:00	5113.39013671875
2025.04.04	18:25:00	5107.22021484375
2025.04.04	18:30:00	5102.60009765625
2025.04.04	18:35:00	5090.52001953125
2025.04.04	18:40:00	5076.6298828125
2025.04.04	18:45:00	5096.9599609375
2025.04.04	18:50:00	5102.83984375
2025.04.04	18:55:00	5096.0498046875
2025.04.04	19:00:00	5092.72021484375
2025.04.04	19:05:00	5095.89990234375
2025.04.04	19:10:00	5119.85986328125
2025.04.04	19:15:00	5099.77978515625
2025.04.04	19:20:00	5129.64990234375
2025.04.04	19:25:00	5123.240234375
2025.04.04	19:30:00	5151.08984375
2025.04.04	19:35:00	5139.5400390625
2025.04.04	19:40:00	5139.990234375
2025.04.04	19:45:00	5116.39990234375
2025.04.04	19:50:00	5086.35986328125
2025.04.04	19:55:00	5075.240234375
2025.04.07	13:30:00	4888.22998046875
2025.04.07	13:35:00	4873.16015625
2025.04.07	13:40:00	4852.8701171875
2025.04.07	13:45:00	4895.47998046875
2025.04.07	13:50:00	4938.97021484375
2025.04.07	13:55:00	4976.56982421875
2025.04.07	14:00:00	4968.02001953125
2025.04.07	14:05:00	4963.240234375
2025.04.07	14:10:00	5153.14013671875
2025.04.07	14:15:00	5165.85009765625
2025.04.07	14:20:00	5014.990234375
2025.04.07	14:25:00	5005.33984375
2025.04.07	14:30:00	5014.5
2025.04.07	14:35:00	4961.60009765625
2025.04.07	14:40:00	5017.7099609375
2025.04.07	14:45:00	5023.97998046875
2025.04.07	14:50:00	5098.60986328125
2025.04.07	14:55:00	5078.7001953125
2025.04.07	15:00:00	5100.169921875
2025.04.07	15:05:00	5038.7099609375
2025.04.07	15:10:00	4986.9599609375
2025.04.07	15:15:00	4998.14990234375
2025.04.07	15:20:00	4959.3701171875
2025.04.07	15:25:00	4956.259765625
2025.04.07	15:30:00	4986.68017578125
2025.04.07	15:35:00	5009.02001953125
2025.04.07	15:40:00	5054.10009765625
2025.04.07	15:45:00	5045.1298828125
2025.04.07	15:50:00	5016.35009765625
2025.04.07	15:55:00	5013.759765625
2025.04.07	16:00:00	5004.97021484375
2025.04.07	16:05:00	4981.0498046875
2025.04.07	16:10:00	4989.41015625
2025.04.07	16:15:00	4990.85986328125
2025.04.07	16:20:00	4992.35009765625
2025.04.07	16:25:00	5013.10009765625
2025.04.07	16:30:00	5024.91015625
2025.04.07	16:35:00	5013.0498046875
2025.04.07	16:40:00	4996.16015625
2025.04.07	16:45:00	4986.52978515625
2025.04.07	16:50:00	4993.2998046875
2025.04.07	16:55:00	4975.4501953125
2025.04.07	17:00:00	4986.0400390625
2025.04.07	17:05:00	4992.22998046875
2025.04.07	17:10:00	5032.240234375
2025.04.07	17:15:00	5045.9599609375
2025.04.07	17:20:00	5048.3701171875
2025.04.07	17:25:00	5073.93017578125
2025.04.07	17:30:00	5057.35986328125
2025.04.07	17:35:00	5079.6201171875
2025.04.07	17:40:00	5085.9599609375
2025.04.07	17:45:00	5093.0498046875
2025.04.07	17:50:00	5097.47021484375
2025.04.07	17:55:00	5108.93994140625
2025.04.07	18:00:00	5101.85986328125
2025.04.07	18:05:00	5089.9599609375
2025.04.07	18:10:00	5080.7001953125
2025.04.07	18:15:00	5107.83984375
2025.04.07	18:20:00	5109.580078125
2025.04.07	18:25:00	5068.18994140625
2025.04.07	18:30:00	5077.72998046875
2025.04.07	18:35:00	5092.240234375
2025.04.07	18:40:00	5084.0498046875
2025.04.07	18:45:00	5077.8798828125
2025.04.07	18:50:00	5054.25
2025.04.07	18:55:00	5049.3701171875
2025.04.07	19:00:00	5054.740234375
2025.04.07	19:05:00	5035.6298828125
2025.04.07	19:10:00	5035.64013671875
2025.04.07	19:15:00	5055.08984375
2025.04.07	19:20:00	5039.35009765625
2025.04.07	19:25:00	5024.4599609375
2025.04.07	19:30:00	5068.759765625
2025.04.07	19:35:00	5064.1201171875
2025.04.07	19:40:00	5033.72998046875
2025.04.07	19:45:00	5043.7900390625
2025.04.07	19:50:00	5050.490234375
2025.04.07	19:55:00	5059.85986328125
2025.04.08	13:30:00	5224.2900390625
2025.04.08	13:35:00	5210.7900390625
2025.04.08	13:40:00	5217.33984375
2025.04.08	13:45:00	5213.75
2025.04.08	13:50:00	5233.6298828125
2025.04.08	13:55:00	5244.6201171875
2025.04.08	14:00:00	5250.7998046875
2025.04.08	14:05:00	5259.080078125
2025.04.08	14:10:00	5256.47021484375
2025.04.08	14:15:00	5259.68017578125
2025.04.08	14:20:00	5249.5498046875
2025.04.08	14:25:00	5253.85986328125
2025.04.08	14:30:00	5256.02001953125
2025.04.08	14:35:00	5256.740234375
2025.04.08	14:40:00	5234.580078125
2025.04.08	14:45:00	5225.5498046875
2025.04.08	14:50:00	5216.4501953125
2025.04.08	14:55:00	5197.9599609375
2025.04.08	15:00:00	5207.7099609375
2025.04.08	15:05:00	5195.47998046875
2025.04.08	15:10:00	5177.669921875
2025.04.08	15:15:00	5177.64013671875
2025.04.08	15:20:00	5165.72998046875
2025.04.08	15:25:00	5161.14990234375
2025.04.08	15:30:00	5176.2998046875
2025.04.08	15:35:00	5193.47021484375
2025.04.08	15:40:00	5192.3798828125
2025.04.08	15:45:00	5174.5
2025.04.08	15:50:00	5174.259765625
2025.04.08	15:55:00	5185.85009765625
2025.04.08	16:00:00	5182.06982421875
2025.04.08	16:05:00	5175.16015625
2025.04.08	16:10:00	5173.27001953125
2025.04.08	16:15:00	5152.68994140625
2025.04.08	16:20:00	5139.97998046875
2025.04.08	16:25:00	5157.0400390625
2025.04.08	16:30:00	5138.990234375
2025.04.08	16:35:00	5109.7099609375
2025.04.08	16:40:00	5104.58984375
2025.04.08	16:45:00	5118.14990234375
2025.04.08	16:50:00	5112.1298828125
2025.04.08	16:55:00	5089.68994140625
2025.04.08	17:00:00	5093.35986328125
2025.04.08	17:05:00	5067.47998046875
2025.04.08	17:10:00	5069.56005859375
2025.04.08	17:15:00	5071.89013671875
2025.04.08	17:20:00	5062.18994140625
2025.04.08	17:25:00	5042.60986328125
2025.04.08	17:30:00	5041.6201171875
2025.04.08	17:35:00	5069.06005859375
2025.04.08	17:40:00	5096.1298828125
2025.04.08	17:45:00	5072.75
2025.04.08	17:50:00	5072.31005859375
2025.04.08	17:55:00	5085.47021484375
2025.04.08	18:00:00	5079.10986328125
2025.04.08	18:05:00	5062.33984375
2025.04.08	18:10:00	5052.18017578125
2025.04.08	18:15:00	5076.52001953125
2025.04.08	18:20:00	5067.91015625
2025.04.08	18:25:00	5041.77001953125
2025.04.08	18:30:00	5054.91015625
2025.04.08	18:35:00	5045.93994140625
2025.04.08	18:40:00	5033.85009765625
2025.04.08	18:45:00	5052.1201171875
2025.04.08	18:50:00	5047.60986328125
2025.04.08	18:55:00	5035.64013671875
2025.04.08	19:00:00	5022.259765625
2025.04.08	19:05:00	4994.97998046875
2025.04.08	19:10:00	4982.22998046875
2025.04.08	19:15:00	4968.14013671875
2025.04.08	19:20:00	4986.8798828125
2025.04.08	19:25:00	4993.2099609375
2025.04.08	19:30:00	4971.7001953125
2025.04.08	19:35:00	4932.2001953125
2025.04.08	19:40:00	4924.39990234375
2025.04.08	19:45:00	4911.16015625
2025.04.08	19:50:00	4975.919921875
2025.04.08	19:55:00	4985.669921875
2025.04.09	13:30:00	4969.330078125
2025.04.09	13:35:00	5010.43994140625
2025.04.09	13:40:00	4992.1201171875
2025.04.09	13:45:00	5002.56982421875
2025.04.09	13:50:00	5020.06982421875
