<DATE>	<TIME>	<CLOSE>
2025.04.01	07:00:00	13227.0
2025.04.01	07:05:00	13223.400390625
2025.04.01	07:10:00	13225.2998046875
2025.04.01	07:15:00	13199.900390625
2025.04.01	07:20:00	13206.400390625
2025.04.01	07:25:00	13184.2998046875
2025.04.01	07:30:00	13163.7998046875
2025.04.01	07:35:00	13161.400390625
2025.04.01	07:40:00	13170.7998046875
2025.04.01	07:45:00	13171.5
2025.04.01	07:50:00	13174.900390625
2025.04.01	07:55:00	13175.2001953125
2025.04.01	08:00:00	13190.7998046875
2025.04.01	08:05:00	13180.7001953125
2025.04.01	08:10:00	13206.7001953125
2025.04.01	08:15:00	13210.5
2025.04.01	08:20:00	13208.7998046875
2025.04.01	08:25:00	13209.900390625
2025.04.01	08:30:00	13216.0
2025.04.01	08:35:00	13212.0
2025.04.01	08:40:00	13221.599609375
2025.04.01	08:45:00	13223.0
2025.04.01	08:50:00	13227.2998046875
2025.04.01	08:55:00	13221.900390625
2025.04.01	09:00:00	13222.599609375
2025.04.01	09:05:00	13235.900390625
2025.04.01	09:10:00	13251.099609375
2025.04.01	09:15:00	13255.2001953125
2025.04.01	09:20:00	13256.2998046875
2025.04.01	09:25:00	13245.2998046875
2025.04.01	09:30:00	13258.900390625
2025.04.01	09:35:00	13260.2001953125
2025.04.01	09:40:00	13266.7998046875
2025.04.01	09:45:00	13263.5
2025.04.01	09:50:00	13265.2998046875
2025.04.01	09:55:00	13260.900390625
2025.04.01	10:00:00	13246.900390625
2025.04.01	10:05:00	13241.400390625
2025.04.01	10:10:00	13221.400390625
2025.04.01	10:15:00	13231.0
2025.04.01	10:20:00	13231.2001953125
2025.04.01	10:25:00	13215.2001953125
2025.04.01	10:30:00	13201.2001953125
2025.04.01	10:35:00	13206.2998046875
2025.04.01	10:40:00	13216.400390625
2025.04.01	10:45:00	13221.400390625
2025.04.01	10:50:00	13228.099609375
2025.04.01	10:55:00	13229.7998046875
2025.04.01	11:00:00	13218.7998046875
2025.04.01	11:05:00	13216.0
2025.04.01	11:10:00	13212.599609375
2025.04.01	11:15:00	13210.2998046875
2025.04.01	11:20:00	13207.2001953125
2025.04.01	11:25:00	13201.900390625
2025.04.01	11:30:00	13199.7998046875
2025.04.01	11:35:00	13193.400390625
2025.04.01	11:40:00	13208.400390625
2025.04.01	11:45:00	13217.7001953125
2025.04.01	11:50:00	13216.7998046875
2025.04.01	11:55:00	13237.400390625
2025.04.01	12:00:00	13231.2998046875
2025.04.01	12:05:00	13244.0
2025.04.01	12:10:00	13252.400390625
2025.04.01	12:15:00	13254.599609375
2025.04.01	12:20:00	13254.7001953125
2025.04.01	12:25:00	13265.2998046875
2025.04.01	12:30:00	13270.400390625
2025.04.01	12:35:00	13274.2998046875
2025.04.01	12:40:00	13266.7001953125
2025.04.01	12:45:00	13269.599609375
2025.04.01	12:50:00	13271.5
2025.04.01	12:55:00	13268.7998046875
2025.04.01	13:00:00	13262.2998046875
2025.04.01	13:05:00	13260.7998046875
2025.04.01	13:10:00	13267.400390625
2025.04.01	13:15:00	13269.599609375
2025.04.01	13:20:00	13273.400390625
2025.04.01	13:25:00	13271.2001953125
2025.04.01	13:30:00	13248.900390625
2025.04.01	13:35:00	13234.2998046875
2025.04.01	13:40:00	13240.400390625
2025.04.01	13:45:00	13238.099609375
2025.04.01	13:50:00	13244.7998046875
2025.04.01	13:55:00	13244.400390625
2025.04.01	14:00:00	13214.7998046875
2025.04.01	14:05:00	13216.2998046875
2025.04.01	14:10:00	13216.599609375
2025.04.01	14:15:00	13222.2001953125
2025.04.01	14:20:00	13232.099609375
2025.04.01	14:25:00	13229.7001953125
2025.04.01	14:30:00	13236.400390625
2025.04.01	14:35:00	13255.0
2025.04.01	14:40:00	13261.900390625
2025.04.01	14:45:00	13267.7998046875
2025.04.01	14:50:00	13281.7001953125
2025.04.01	14:55:00	13294.2001953125
2025.04.01	15:00:00	13300.400390625
2025.04.01	15:05:00	13314.2001953125
2025.04.01	15:10:00	13314.400390625
2025.04.01	15:15:00	13323.7001953125
