window,profit,numero_operaciones,return_factor,ganancia_total
11,3.38869237749619,13,1.001084181129806,1.4094354687476989
18,3.104653788593057,5,1.001332108752478,0.6660543762389817
13,2.6956822142099472,8,1.0014252070827714,1.1401656662170885
10,2.345059642424115,16,1.0008853695157616,1.416591225218581
12,2.283096289883202,9,1.0012704816601852,1.1434334941666635
14,2.120661696961338,8,1.0009419070239196,0.7535256191356717
15,2.1192395655925327,7,1.001075099124678,0.7525693872745515
16,2.043187667386682,7,1.0009777835243772,0.6844484670640637
17,1.6130121174697465,5,1.000680754449359,0.3403772246795145
9,1.5987929110653833,17,1.0005015991912196,0.8527186250733323
