buffer,neurons,learning_rate,batch_size,rmse,directional_acc_thr,directional_acc_quantile
300,32,0.0005,4,99.62300557011163,0.8494623655913979,0.7333333333333333
400,16,0.0001,2,100.0589998733524,0.8494623655913979,0.3333333333333333
250,32,0.0005,4,100.07559862505738,0.8494623655913979,0.30952380952380953
400,8,0.0001,2,100.10697442352141,0.8494623655913979,0.39473684210526316
400,8,0.0001,4,100.2110001037506,0.8494623655913979,0.32608695652173914
400,16,0.0001,4,100.22926477177235,0.8494623655913979,0.4230769230769231
450,16,0.0001,2,100.22938611613947,0.8494623655913979,0.4473684210526316
450,8,0.0001,2,100.25179862281166,0.8494623655913979,0.3617021276595745
400,32,0.0001,2,100.25546404461667,0.8494623655913979,0.42857142857142855
450,8,0.0005,4,100.2725297134323,0.8494623655913979,0.38636363636363635
400,32,0.0001,4,100.28221552182826,0.8494623655913979,0.38461538461538464
450,16,0.0005,4,100.28861825477597,0.8494623655913979,0.28205128205128205
250,8,0.0005,2,100.30692641758813,0.8494623655913979,0.2857142857142857
450,32,0.0001,4,100.3132290731521,0.8494623655913979,0.375
450,8,0.0001,4,100.31345485938344,0.8494623655913979,0.3953488372093023
450,16,0.0001,4,100.31775627606105,0.8494623655913979,0.41025641025641024
250,32,0.0001,2,100.31926235108016,0.8494623655913979,0.2826086956521739
250,16,0.0005,2,100.32161231311909,0.8494623655913979,0.36363636363636365
400,8,0.0005,4,100.33217297871617,0.8494623655913979,0.42105263157894735
400,8,0.0005,2,100.36840343266641,0.8494623655913979,0.37254901960784315
350,32,0.0001,2,100.37067441576794,0.8494623655913979,0.475
450,32,0.0001,2,100.3723066986682,0.8494623655913979,0.38
250,8,0.0005,4,100.38227544168672,0.8494623655913979,0.37777777777777777
250,32,0.0001,4,100.38586682294361,0.8494623655913979,0.35555555555555557
250,16,0.0005,4,100.39143253490668,0.8494623655913979,0.37254901960784315
400,16,0.0005,4,100.3941348952256,0.8494623655913979,0.44680851063829785
350,8,0.0001,4,100.39576271959903,0.8494623655913979,0.425
350,16,0.0001,4,100.4010468126228,0.8494623655913979,0.42857142857142855
350,8,0.0005,2,100.43021563045406,0.8494623655913979,0.4
350,16,0.0005,4,100.4538655499931,0.8494623655913979,0.4375
450,8,0.0005,2,100.46778638251531,0.8494623655913979,0.37209302325581395
350,8,0.0005,4,100.46796602201307,0.8494623655913979,0.23684210526315788
250,8,0.0001,4,100.47466222223112,0.8494623655913979,0.35294117647058826
350,16,0.0005,2,100.48319944538562,0.8494623655913979,0.43478260869565216
250,16,0.0001,4,100.48795822306691,0.8494623655913979,0.34545454545454546
350,32,0.0001,4,100.4885366228707,0.8494623655913979,0.3695652173913043
200,16,0.0005,4,100.49393132940489,0.8494623655913979,0.47368421052631576
400,16,0.0005,2,100.50996323150439,0.8494623655913979,0.4634146341463415
200,32,0.0001,2,100.52875017254763,0.8494623655913979,0.41025641025641024
350,8,0.0001,2,100.52956408272428,0.8494623655913979,0.5
200,8,0.0001,4,100.53390418581193,0.8494623655913979,0.46153846153846156
200,8,0.0005,4,100.54644480660306,0.8494623655913979,0.5217391304347826
200,16,0.0001,4,100.56113345639542,0.8494623655913979,0.46153846153846156
450,16,0.0005,2,100.56247189461332,0.8494623655913979,0.4375
200,32,0.0001,4,100.57055254934738,0.8494623655913979,0.48717948717948717
200,8,0.0005,2,100.57887864150777,0.8494623655913979,0.4358974358974359
200,16,0.0005,2,100.62808661418143,0.8494623655913979,0.41025641025641024
300,16,0.0005,2,100.78047412469608,0.8494623655913979,0.4523809523809524
300,16,0.0005,4,100.78376991751196,0.8494623655913979,0.41304347826086957
300,8,0.0005,2,100.81185951212517,0.8494623655913979,0.3695652173913043
400,32,0.0005,4,100.82155323677378,0.8494623655913979,0.38636363636363635
300,8,0.0005,4,100.84126443628843,0.8494623655913979,0.3684210526315789
200,32,0.0005,4,100.92973479767242,0.8494623655913979,0.4772727272727273
300,32,0.0001,2,100.93554100192583,0.8494623655913979,0.37209302325581395
300,32,0.0001,4,100.93997463066239,0.8494623655913979,0.39473684210526316
300,16,0.0001,4,101.15961493629511,0.8494623655913979,0.3888888888888889
300,8,0.0001,4,101.16236029184157,0.8494623655913979,0.36585365853658536
250,32,0.0005,2,101.18634167639249,0.8494623655913979,0.32
150,8,0.0005,2,101.25437602925584,0.8494623655913979,0.3953488372093023
150,32,0.0001,2,101.33569391587591,0.8494623655913979,0.3953488372093023
150,16,0.0005,2,101.41074087472981,0.8494623655913979,0.475
150,8,0.0001,4,101.4881254802535,0.8494623655913979,0.3617021276595745
150,16,0.0005,4,101.49114757271737,0.8494623655913979,0.38636363636363635
150,16,0.0001,4,101.49972549812189,0.8494623655913979,0.44
150,8,0.0005,4,101.50459374406074,0.8494623655913979,0.3902439024390244
300,32,0.0005,2,101.54071882738417,0.8494623655913979,0.3023255813953488
150,32,0.0001,4,101.57617382816015,0.8494623655913979,0.3469387755102041
200,32,0.0005,2,101.6143264435923,0.8494623655913979,0.42105263157894735
150,32,0.0005,4,102.24373063598149,0.8494623655913979,0.4
150,32,0.0005,2,102.30187834351692,0.8494623655913979,0.42105263157894735
450,32,0.0005,4,102.36078005712919,0.8494623655913979,0.21951219512195122
400,32,0.0005,2,102.38954698465643,0.8494623655913979,0.275
100,16,0.0005,2,103.25908995390901,0.8494623655913979,0.2619047619047619
100,8,0.0005,2,103.297238612242,0.8494623655913979,0.28888888888888886
100,32,0.0001,4,103.40437008085362,0.8494623655913979,0.24390243902439024
100,8,0.0001,4,103.43512799203077,0.8494623655913979,0.24390243902439024
100,16,0.0001,4,103.45256025329556,0.8494623655913979,0.2916666666666667
450,32,0.0005,2,103.4594955484892,0.8494623655913979,0.29545454545454547
100,32,0.0001,2,103.49566735668188,0.8494623655913979,0.3684210526315789
100,16,0.0005,4,103.52423676796326,0.8494623655913979,0.275
100,8,0.0005,4,103.52509950783954,0.8494623655913979,0.2558139534883721
350,32,0.0005,2,103.55132548587312,0.8494623655913979,0.32727272727272727
100,32,0.0005,4,103.7017607768274,0.8494623655913979,0.1951219512195122
100,32,0.0005,2,103.80786393525779,0.8494623655913979,0.2727272727272727
350,32,0.0005,4,104.61474205130179,0.8494623655913979,0.28888888888888886
350,16,0.0001,2,112.3277821384044,0.6935483870967742,0.47368421052631576
300,8,0.0001,2,339.1094474794923,0.6935483870967742,0.4888888888888889
300,16,0.0001,2,1073.7200229069167,0.6935483870967742,0.5
250,8,0.0001,2,2355.1958979098013,0.6935483870967742,0.4473684210526316
250,16,0.0001,2,4873.40543693437,0.6935483870967742,0.4883720930232558
200,8,0.0001,2,6607.974813784948,0.6935483870967742,0.5319148936170213
200,16,0.0001,2,10662.269325358982,0.6935483870967742,0.5384615384615384
150,8,0.0001,2,11777.853263987834,0.5752688172043011,0.6052631578947368
