buffer,window,n_estimators,max_depth,min_samples_split,rmse,directional_accuracy_thr,directional_accuracy_quantile
400,1,250,6,2,105.9054392385554,0.7552816901408451,0.4649122807017544
400,1,250,5,2,106.1178888152361,0.7535211267605634,0.4649122807017544
400,2,250,5,2,106.12575602874045,0.7486725663716814,0.4690265486725664
400,2,250,6,2,106.2035083174724,0.7522123893805309,0.4690265486725664
400,1,500,6,2,106.2619321610086,0.7535211267605634,0.4649122807017544
400,1,500,5,2,106.46710940729305,0.7535211267605634,0.4649122807017544
400,2,500,5,2,106.78779993937071,0.7469026548672566,0.4690265486725664
400,2,500,6,2,106.83414301641814,0.7522123893805309,0.4690265486725664
400,1,250,4,2,106.913496247509,0.7429577464788732,0.4649122807017544
400,1,500,4,2,107.51071369060809,0.7429577464788732,0.4649122807017544
400,2,250,4,2,107.57562478786839,0.7415929203539823,0.4778761061946903
400,2,500,4,2,108.19561664954179,0.7415929203539823,0.4690265486725664
350,2,250,6,2,111.8148693113631,0.727433628318584,0.4778761061946903
350,2,500,6,2,112.81474835206593,0.7256637168141593,0.4778761061946903
350,2,250,5,2,113.01563830533627,0.7256637168141593,0.4778761061946903
350,1,250,6,2,113.08551677297034,0.7288732394366197,0.4824561403508772
350,1,250,5,2,113.35222790075828,0.7288732394366197,0.4824561403508772
350,2,250,4,2,113.39613909079996,0.7221238938053097,0.4778761061946903
350,2,500,5,2,113.41943579188101,0.7256637168141593,0.4778761061946903
350,1,500,6,2,114.01591442807275,0.727112676056338,0.4824561403508772
350,1,500,5,2,114.17239121238826,0.727112676056338,0.4824561403508772
350,2,500,4,2,114.23002262387605,0.7185840707964601,0.4778761061946903
350,1,250,4,2,114.81133679517166,0.7235915492957746,0.4824561403508772
450,2,500,6,2,115.21903136850996,0.7415929203539823,0.46017699115044247
350,1,500,4,2,115.56204510832555,0.721830985915493,0.47368421052631576
450,2,500,5,2,115.97665366896484,0.7398230088495575,0.46017699115044247
450,2,250,6,2,117.14774621045929,0.736283185840708,0.46017699115044247
450,1,500,4,2,117.15880501155188,0.7341549295774648,0.45614035087719296
450,1,500,6,2,117.36122063451792,0.7411971830985915,0.45614035087719296
450,2,500,4,2,117.62716673388609,0.7345132743362832,0.46017699115044247
450,1,500,5,2,117.81265886632079,0.7411971830985915,0.45614035087719296
450,2,250,5,2,117.86804654652242,0.7345132743362832,0.46017699115044247
450,1,250,4,2,118.51870221393553,0.7323943661971831,0.45614035087719296
450,1,250,6,2,118.56212885448062,0.7359154929577465,0.45614035087719296
450,1,250,5,2,119.0211496474736,0.7341549295774648,0.45614035087719296
450,2,250,4,2,119.58784179533502,0.7309734513274336,0.46017699115044247
250,1,250,5,2,120.7543824187161,0.7147887323943662,0.4824561403508772
250,1,250,6,2,120.87788748744552,0.7147887323943662,0.4824561403508772
250,1,500,5,2,120.90822448200761,0.7147887323943662,0.49122807017543857
250,1,500,6,2,121.05950339806728,0.7147887323943662,0.4824561403508772
400,4,250,6,2,121.1048162752442,0.7119856887298748,0.45535714285714285
400,4,500,6,2,121.10891808649818,0.7119856887298748,0.45535714285714285
250,1,250,4,2,121.1755849742331,0.7112676056338029,0.49122807017543857
250,1,500,4,2,121.35910830162011,0.7095070422535211,0.49122807017543857
400,4,500,5,2,121.56463407868672,0.7119856887298748,0.45535714285714285
250,2,250,5,2,121.71779758885761,0.720353982300885,0.4778761061946903
400,4,250,5,2,121.79157345519927,0.7101967799642218,0.45535714285714285
250,2,250,6,2,121.94781729686093,0.720353982300885,0.4778761061946903
250,2,500,5,2,122.15568851671908,0.720353982300885,0.4778761061946903
300,1,250,4,2,122.23001258409441,0.7024647887323944,0.4824561403508772
250,2,500,6,2,122.31813429509164,0.720353982300885,0.4778761061946903
400,4,500,4,2,122.32458602316899,0.7101967799642218,0.45535714285714285
250,2,250,4,2,122.40189494004723,0.7132743362831858,0.48672566371681414
400,4,250,4,2,122.54169176543684,0.7084078711985689,0.45535714285714285
250,2,500,4,2,122.61756008536128,0.7132743362831858,0.4778761061946903
300,1,250,5,2,122.89599684673948,0.7024647887323944,0.47368421052631576
300,1,250,6,2,122.9512376331237,0.7024647887323944,0.47368421052631576
300,1,500,4,2,122.9523781681617,0.698943661971831,0.47368421052631576
300,1,500,5,2,123.54249795391358,0.7024647887323944,0.47368421052631576
300,1,500,6,2,123.58553018259069,0.7024647887323944,0.4649122807017544
300,2,250,5,2,123.89547364956582,0.7008849557522124,0.4778761061946903
300,2,500,5,2,124.51851996904372,0.6973451327433628,0.4690265486725664
300,2,250,6,2,124.6681122600635,0.695575221238938,0.4778761061946903
300,2,500,6,2,124.87527035341495,0.695575221238938,0.4690265486725664
300,2,250,4,2,124.93167423370214,0.6973451327433628,0.4690265486725664
300,2,500,4,2,125.33824450423819,0.6938053097345133,0.4690265486725664
200,2,250,5,2,127.63605189991662,0.727433628318584,0.4778761061946903
200,2,250,6,2,127.63948286617966,0.7256637168141593,0.4778761061946903
200,2,250,4,2,128.092691975862,0.727433628318584,0.4778761061946903
200,2,500,5,2,128.4283022691085,0.7256637168141593,0.4778761061946903
200,2,500,6,2,128.6049133280211,0.7256637168141593,0.4778761061946903
250,4,250,6,2,128.7157632045236,0.6994633273703041,0.4732142857142857
250,4,250,5,2,128.91011156458245,0.7012522361359571,0.4732142857142857
250,4,500,5,2,128.92700067794541,0.7012522361359571,0.4732142857142857
250,4,500,6,2,128.97321391639434,0.6994633273703041,0.4732142857142857
250,4,250,4,2,128.9866635096456,0.7030411449016101,0.4732142857142857
250,4,500,4,2,129.10402616347488,0.7012522361359571,0.4732142857142857
200,2,500,4,2,129.11012322974747,0.7256637168141593,0.4778761061946903
200,1,250,4,2,129.2359344632184,0.7306338028169014,0.49122807017543857
200,1,250,6,2,129.49101333949787,0.7323943661971831,0.47368421052631576
200,1,500,4,2,129.67096569497454,0.7323943661971831,0.49122807017543857
200,1,250,5,2,129.81890710764284,0.7306338028169014,0.47368421052631576
200,1,500,6,2,130.06282647515854,0.7306338028169014,0.4824561403508772
200,1,500,5,2,130.37141528718342,0.7288732394366197,0.4824561403508772
300,4,250,4,2,136.88633931064498,0.6887298747763864,0.4732142857142857
300,4,500,4,2,137.2988317657622,0.6869409660107334,0.4732142857142857
300,4,250,6,2,137.57369602480264,0.6887298747763864,0.4642857142857143
300,4,500,5,2,137.95007681293734,0.6887298747763864,0.4642857142857143
300,4,500,6,2,137.9588406392814,0.6887298747763864,0.4642857142857143
300,4,250,5,2,138.08229126289453,0.6851520572450805,0.4642857142857143
350,4,250,4,2,138.2672151153951,0.6923076923076923,0.45535714285714285
350,4,250,6,2,138.84071536875726,0.6923076923076923,0.4375
150,1,250,4,2,139.48940375265846,0.7024647887323944,0.47368421052631576
150,1,500,4,2,139.78178104960662,0.6971830985915493,0.47368421052631576
350,4,250,5,2,139.94939310271394,0.6923076923076923,0.4375
150,1,250,5,2,140.18569305334893,0.7024647887323944,0.4649122807017544
150,1,250,6,2,140.3889906215583,0.7007042253521126,0.4649122807017544
150,1,500,5,2,140.6765032405482,0.6971830985915493,0.45614035087719296
150,1,500,6,2,140.89754119983428,0.6954225352112676,0.45614035087719296
350,4,500,4,2,141.04638350672533,0.6923076923076923,0.44642857142857145
450,4,500,6,2,141.29953148129803,0.7191413237924866,0.4732142857142857
350,4,500,5,2,141.30450038154348,0.6923076923076923,0.42857142857142855
350,4,500,6,2,141.85199321297304,0.6923076923076923,0.42857142857142855
450,4,500,4,2,142.59535817299047,0.7191413237924866,0.48214285714285715
450,4,250,6,2,142.59753157684406,0.7191413237924866,0.48214285714285715
200,4,250,5,2,142.78912163226423,0.6851520572450805,0.4642857142857143
450,4,500,5,2,143.05329771441234,0.7191413237924866,0.48214285714285715
200,4,500,5,2,143.63216988683857,0.6851520572450805,0.4732142857142857
200,4,250,4,2,143.69199702474413,0.6833631484794276,0.4732142857142857
450,4,250,5,2,144.0138573448858,0.7173524150268337,0.48214285714285715
200,4,500,4,2,144.03713116942157,0.6833631484794276,0.4732142857142857
200,4,250,6,2,144.18000859916503,0.6851520572450805,0.4732142857142857
200,4,500,6,2,144.40823718406995,0.6851520572450805,0.4732142857142857
450,4,250,4,2,144.94658482817763,0.7173524150268337,0.48214285714285715
150,2,250,6,2,145.1892082795448,0.6920353982300885,0.4778761061946903
150,2,500,6,2,145.2645022359409,0.6920353982300885,0.4690265486725664
150,2,500,5,2,145.31420009246594,0.6920353982300885,0.4690265486725664
150,2,250,5,2,145.46973354445234,0.6920353982300885,0.4778761061946903
150,2,500,4,2,145.6492888297491,0.6884955752212389,0.4690265486725664
150,2,250,4,2,146.0481538904998,0.6884955752212389,0.4690265486725664
100,1,250,5,2,146.41421059435174,0.6690140845070423,0.49122807017543857
100,1,250,4,2,146.42985683105354,0.6654929577464789,0.4824561403508772
100,1,250,6,2,146.4723968630763,0.6690140845070423,0.49122807017543857
100,1,500,4,2,147.0395238688203,0.6637323943661971,0.4824561403508772
100,1,500,5,2,147.0822863994505,0.6637323943661971,0.4824561403508772
100,1,500,6,2,147.15048579984355,0.6637323943661971,0.4824561403508772
100,2,250,4,2,147.52523971615057,0.6672566371681415,0.4778761061946903
100,2,250,5,2,147.7184034344529,0.6690265486725664,0.48672566371681414
100,2,250,6,2,147.79466425946853,0.6672566371681415,0.48672566371681414
100,2,500,4,2,148.09347311405728,0.6637168141592921,0.48672566371681414
100,2,500,5,2,148.1769304273958,0.6654867256637168,0.48672566371681414
100,2,500,6,2,148.3226160750909,0.6654867256637168,0.48672566371681414
100,4,250,4,2,159.20596747680452,0.6261180679785331,0.5
100,4,250,6,2,159.35919820559428,0.627906976744186,0.49107142857142855
100,4,500,4,2,159.5456064739029,0.6261180679785331,0.49107142857142855
100,4,500,6,2,159.78303046767073,0.6261180679785331,0.49107142857142855
100,4,250,5,2,159.96581652895287,0.6243291592128801,0.49107142857142855
100,4,500,5,2,159.9928297841868,0.6261180679785331,0.5
150,4,500,5,2,174.2265298430719,0.6833631484794276,0.4642857142857143
150,4,250,5,2,174.88480914793382,0.6815742397137746,0.4642857142857143
150,4,500,4,2,175.39388969769414,0.6815742397137746,0.4642857142857143
150,4,500,6,2,175.41640716011324,0.6833631484794276,0.4642857142857143
150,4,250,4,2,176.51758212134195,0.6815742397137746,0.4642857142857143
150,4,250,6,2,177.42765644950296,0.6797853309481217,0.4642857142857143
