buffer,window,n_estimators,max_depth,min_samples_split,rmse,directional_accuracy_thr,directional_accuracy_quantile
450,1,500,6,2,9.67194058787146,1.0,0.49122807017543857
450,1,500,5,2,9.716110132586078,1.0,0.4824561403508772
450,1,250,6,2,9.719895257987861,1.0,0.49122807017543857
450,1,250,5,2,9.760363978680681,1.0,0.47368421052631576
450,2,500,6,2,10.011726625702726,1.0,0.4690265486725664
350,1,500,6,2,10.037110125260957,1.0,0.5175438596491229
350,1,500,5,2,10.055149529441007,1.0,0.5263157894736842
350,1,250,6,2,10.05797151344889,1.0,0.5175438596491229
350,1,250,5,2,10.064522350747126,1.0,0.5263157894736842
450,2,250,6,2,10.070875901409204,1.0,0.4778761061946903
450,2,500,5,2,10.0849414728171,1.0,0.46017699115044247
450,2,250,5,2,10.143524000211578,1.0,0.46017699115044247
350,1,250,4,2,10.302082077074383,1.0,0.5087719298245614
400,1,250,6,2,10.31794902353311,1.0,0.47368421052631576
400,1,500,6,2,10.340063018443335,1.0,0.4649122807017544
350,1,500,4,2,10.34094230380539,1.0,0.5
400,1,250,5,2,10.407411270723635,1.0,0.47368421052631576
400,1,500,5,2,10.431681523383427,1.0,0.4649122807017544
350,2,250,6,2,10.434502739762742,1.0,0.504424778761062
350,2,500,6,2,10.437302000082937,1.0,0.504424778761062
450,1,500,4,2,10.442963957727232,1.0,0.49122807017543857
450,4,500,6,2,10.452859198718365,1.0,0.5089285714285714
400,2,250,6,2,10.455533210949278,1.0,0.4778761061946903
350,2,500,5,2,10.482300744339913,1.0,0.49557522123893805
350,2,250,5,2,10.48803907024141,1.0,0.504424778761062
400,2,500,6,2,10.489982301185199,1.0,0.4778761061946903
450,4,500,5,2,10.519772966844778,1.0,0.5089285714285714
450,4,250,6,2,10.52792112167204,1.0,0.5089285714285714
450,1,250,4,2,10.53257037341151,1.0,0.49122807017543857
200,1,250,5,2,10.53732522584017,1.0,0.5263157894736842
200,1,250,6,2,10.550936117932151,1.0,0.5263157894736842
200,1,500,5,2,10.56462503445691,1.0,0.5263157894736842
200,1,500,6,2,10.575261723488811,1.0,0.5175438596491229
400,2,250,5,2,10.598483154302821,1.0,0.4690265486725664
450,4,250,5,2,10.613432894285907,1.0,0.5089285714285714
400,2,500,5,2,10.622281455115717,1.0,0.46017699115044247
300,1,500,4,2,10.68709355670604,1.0,0.47368421052631576
300,1,500,6,2,10.693080593630064,1.0,0.47368421052631576
300,1,250,4,2,10.702093753254148,1.0,0.4649122807017544
300,1,500,5,2,10.710153275492418,1.0,0.4649122807017544
300,1,250,6,2,10.713766389077191,1.0,0.47368421052631576
200,1,250,4,2,10.718336535817715,1.0,0.5350877192982456
200,1,500,4,2,10.735031965177843,1.0,0.5350877192982456
300,1,250,5,2,10.739228416763156,1.0,0.4649122807017544
350,2,250,4,2,10.751770761183245,1.0,0.48672566371681414
350,2,500,4,2,10.789124503757739,1.0,0.48672566371681414
150,1,250,5,2,10.865763733501455,1.0,0.5
150,1,500,5,2,10.86652581639737,1.0,0.49122807017543857
150,1,500,6,2,10.866728501324053,1.0,0.49122807017543857
150,1,250,6,2,10.868538675393651,1.0,0.5
150,1,500,4,2,10.880913135515282,1.0,0.4824561403508772
150,1,250,4,2,10.889059943331471,1.0,0.4824561403508772
250,1,250,6,2,10.929486770021677,1.0,0.49122807017543857
250,1,250,5,2,10.931133630798785,1.0,0.5
200,2,250,5,2,10.955409472916292,1.0,0.5309734513274337
250,1,500,6,2,10.964049920991693,1.0,0.49122807017543857
250,1,500,5,2,10.966470880520209,1.0,0.49122807017543857
200,2,250,6,2,10.982773494962121,1.0,0.5309734513274337
250,1,250,4,2,10.987735516906147,1.0,0.49122807017543857
450,2,500,4,2,10.989708757215114,1.0,0.45132743362831856
200,2,500,5,2,10.99156428055148,1.0,0.5221238938053098
200,2,500,6,2,11.001311561365146,1.0,0.5221238938053098
250,1,500,4,2,11.013964163987763,1.0,0.5
400,1,250,4,2,11.058806461750372,1.0,0.45614035087719296
450,2,250,4,2,11.08008513674029,1.0,0.45132743362831856
300,2,500,6,2,11.110137329543502,1.0,0.4690265486725664
300,2,500,5,2,11.13046907701607,1.0,0.4690265486725664
300,2,250,6,2,11.1314854291521,1.0,0.4690265486725664
400,1,500,4,2,11.132184816148142,1.0,0.45614035087719296
200,2,500,4,2,11.136489601408499,1.0,0.5221238938053098
200,2,250,4,2,11.138803045647988,1.0,0.5221238938053098
400,4,250,6,2,11.149415701096107,1.0,0.49107142857142855
300,2,250,5,2,11.152976768643306,1.0,0.4690265486725664
400,4,500,6,2,11.157763970134082,1.0,0.5
300,2,500,4,2,11.229956836713678,1.0,0.46017699115044247
350,4,500,6,2,11.230828738026206,1.0,0.5089285714285714
400,4,250,5,2,11.240893571414402,1.0,0.49107142857142855
300,2,250,4,2,11.253782426188408,1.0,0.4690265486725664
350,4,250,6,2,11.257107770153722,1.0,0.5089285714285714
350,4,250,5,2,11.257162994155982,1.0,0.5178571428571429
400,4,500,5,2,11.264940036689573,1.0,0.5
450,4,500,4,2,11.26627275800528,1.0,0.5
350,4,500,5,2,11.270849152112836,1.0,0.5089285714285714
250,2,250,5,2,11.276157331819556,1.0,0.5132743362831859
250,2,250,6,2,11.283916442255785,1.0,0.5132743362831859
250,2,500,5,2,11.332821927429311,1.0,0.5132743362831859
250,2,500,6,2,11.340371792317844,1.0,0.5132743362831859
450,4,250,4,2,11.392170311232075,1.0,0.5
400,2,250,4,2,11.4024453761112,1.0,0.45132743362831856
350,4,250,4,2,11.44858237850492,1.0,0.5
250,2,250,4,2,11.448763130668857,1.0,0.504424778761062
200,4,250,5,2,11.450492502450906,1.0,0.5267857142857143
400,2,500,4,2,11.454973797957583,1.0,0.4690265486725664
200,4,500,5,2,11.471685273925019,1.0,0.5178571428571429
350,4,500,4,2,11.48260030964006,1.0,0.5089285714285714
200,4,250,6,2,11.494227936474106,1.0,0.5267857142857143
200,4,500,4,2,11.496041265198757,1.0,0.5089285714285714
200,4,250,4,2,11.507598482375785,1.0,0.5
200,4,500,6,2,11.521143823027112,1.0,0.5178571428571429
150,2,500,5,2,11.528272897314647,1.0,0.5
250,2,500,4,2,11.530192732016028,1.0,0.504424778761062
150,2,500,6,2,11.535311622558385,1.0,0.49557522123893805
150,2,500,4,2,11.562488357885309,1.0,0.504424778761062
150,2,250,5,2,11.590331297740397,1.0,0.49557522123893805
150,2,250,6,2,11.614068129486494,1.0,0.504424778761062
150,2,250,4,2,11.624164171875634,1.0,0.504424778761062
250,4,250,6,2,11.748446764132064,1.0,0.5089285714285714
250,4,250,5,2,11.78854458690331,1.0,0.5089285714285714
250,4,500,6,2,11.794710682656405,1.0,0.5178571428571429
250,4,500,5,2,11.804508313326016,1.0,0.5178571428571429
300,4,250,5,2,11.933575212416226,1.0,0.49107142857142855
