long,short,signal,profit,numero_operaciones,return_factor,ganancia_total
23,24,24,2.767467573656009,51,1.00091662418253,4.674783330903375
38,15,15,2.404626719937771,53,1.0008545089885537,4.5288976393342395
26,18,18,2.3885335978200257,53,1.0008287946030165,4.392611395988104
16,15,16,2.385804402440951,69,1.0007299990951284,5.03699375638516
39,17,13,2.3844327919823947,54,1.0008271600385386,4.466664208108642
39,13,17,2.3844327919823947,54,1.0008271600385386,4.466664208108642
42,15,14,2.37831841183723,54,1.0008217435091575,4.437414949450803
42,14,15,2.37831841183723,54,1.0008217435091575,4.437414949450803
40,15,15,2.374619335246383,54,1.0008110299044743,4.379561484161792
40,16,14,2.374619335246383,54,1.0008110299044743,4.379561484161792
40,14,16,2.374619335246383,54,1.0008110299044743,4.379561484161792
40,17,13,2.3744245932549344,54,1.0008123765170744,4.386833192202098
40,13,17,2.3744245932549344,54,1.0008123765170744,4.386833192202098
40,12,18,2.3737812673800747,54,1.0008275416543242,4.468724933350129
40,18,12,2.3737812673800747,54,1.0008275416543242,4.468724933350129
23,18,20,2.3736870357888824,53,1.000838297243133,4.442975388604274
20,18,23,2.3736870357888824,53,1.000838297243133,4.442975388604274
23,20,18,2.3736870357888824,53,1.000838297243133,4.442975388604274
15,14,16,2.3726663658746237,73,1.0006897281274696,5.0350153305277185
16,14,15,2.3726663658746237,73,1.0006897281274696,5.0350153305277185
16,15,14,2.3726663658746237,73,1.0006897281274696,5.0350153305277185
24,17,20,2.37107269237658,53,1.0008367018310644,4.434519704641624
20,17,24,2.37107269237658,53,1.0008367018310644,4.434519704641624
22,17,22,2.37107269237658,53,1.0008367018310644,4.434519704641624
24,20,17,2.37107269237658,53,1.0008367018310644,4.434519704641624
23,24,23,2.3702860963455348,51,1.0008087419849012,4.124584122996715
23,24,22,2.361955924692108,52,1.0007999464919566,4.159721758174247
22,23,24,2.361955924692108,52,1.0007999464919566,4.159721758174247
22,24,23,2.361955924692108,52,1.0007999464919566,4.159721758174247
37,17,14,2.3611095124436337,53,1.000821630222478,4.3546401791337646
37,14,17,2.3611095124436337,53,1.000821630222478,4.3546401791337646
26,19,17,2.3605038228808857,53,1.0008241817849743,4.368163460363545
26,17,19,2.3605038228808857,53,1.0008241817849743,4.368163460363545
39,16,14,2.3604883042673355,54,1.000814809321638,4.399970336845165
39,14,16,2.3604883042673355,54,1.000814809321638,4.399970336845165
39,15,15,2.3604883042673355,54,1.000814809321638,4.399970336845165
17,14,14,2.360363382254651,73,1.000687109073053,5.015896233285828
31,23,12,2.360295382088605,53,1.0008218794649297,4.355961164127225
31,12,23,2.360295382088605,53,1.0008218794649297,4.355961164127225
21,18,22,2.3602651197772384,53,1.0008266407106325,4.381195766352187
22,18,21,2.3602651197772384,53,1.0008266407106325,4.381195766352187
