window,profit,numero_operaciones,return_factor,ganancia_total
18,11.81236223928844,19,1.0026668679954933,5.067049191437447
15,7.504398501048693,26,1.0020217179667963,5.256466713670105
16,7.19126397015164,22,1.0022742773056081,5.003410072337984
17,6.626607787946167,20,1.0022651375157925,4.530275031585052
14,5.381015660700905,28,1.0018203310540275,5.096926951276467
13,5.00344413043992,31,1.0018135520969076,5.622011500413572
9,4.747002687837183,49,1.0012559076782657,6.153947623502456
10,4.426985051281982,46,1.0014114287585805,6.492572289470318
12,3.8501173357146934,37,1.0013295491715155,4.91933193460726
11,3.6757134251449557,39,1.0011690988975375,4.559485700396079
