buffer,window,n_estimators,max_depth,min_samples_split,rmse,directional_accuracy_thr,directional_accuracy_quantile
100,1,500,5,2,42.201607555910286,0.9612794612794613,0.5966386554621849
100,1,500,6,2,42.20570810423485,0.9612794612794613,0.5966386554621849
100,1,250,5,2,42.261125896039,0.9612794612794613,0.5882352941176471
100,1,250,6,2,42.27772868982096,0.9612794612794613,0.5882352941176471
100,1,500,4,2,42.55283245994871,0.9595959595959596,0.5966386554621849
100,1,250,4,2,42.57431718517217,0.9595959595959596,0.5966386554621849
250,1,250,6,2,42.59274859292994,0.9612794612794613,0.5966386554621849
250,1,500,6,2,42.68499102626706,0.9612794612794613,0.5966386554621849
400,1,250,6,2,42.80718555902927,0.9612794612794613,0.6050420168067226
400,1,500,6,2,42.81325386221038,0.9612794612794613,0.6050420168067226
250,1,250,5,2,42.835343358006796,0.9612794612794613,0.5966386554621849
250,1,500,5,2,42.963464427504064,0.9612794612794613,0.6134453781512605
400,1,500,4,2,43.32529203689345,0.9595959595959596,0.5882352941176471
400,1,250,4,2,43.39446383857023,0.9595959595959596,0.5882352941176471
250,1,250,4,2,43.423783489830285,0.9595959595959596,0.6050420168067226
250,1,500,4,2,43.47161421307208,0.9595959595959596,0.6050420168067226
400,1,500,5,2,43.577581067906294,0.9595959595959596,0.6134453781512605
400,1,250,5,2,43.598637659003614,0.9595959595959596,0.6050420168067226
200,2,500,5,2,43.66648858057154,0.9560067681895094,0.5882352941176471
200,2,250,5,2,43.77528851258897,0.9560067681895094,0.5798319327731093
200,2,500,6,2,43.88204500805817,0.9543147208121827,0.5882352941176471
200,1,500,5,2,43.951985828974216,0.9595959595959596,0.6050420168067226
350,2,500,4,2,44.00763728892874,0.9712351945854484,0.5666666666666667
200,2,250,6,2,44.03403985340388,0.9543147208121827,0.5882352941176471
350,2,250,4,2,44.04353588436401,0.9712351945854484,0.5798319327731093
200,1,500,6,2,44.11183527996622,0.9595959595959596,0.5882352941176471
200,2,500,4,2,44.13265346585872,0.9543147208121827,0.5714285714285714
200,1,250,5,2,44.18991586049908,0.9579124579124579,0.5882352941176471
350,1,500,4,2,44.28205729912135,0.9730639730639731,0.5714285714285714
350,1,250,4,2,44.2884710076379,0.9730639730639731,0.5630252100840336
100,2,250,4,2,44.288831311485765,0.9475465313028765,0.5630252100840336
200,2,250,4,2,44.28893398661834,0.9526226734348562,0.5798319327731093
200,1,250,6,2,44.324127414171734,0.9579124579124579,0.5916666666666667
100,2,250,5,2,44.369348279127806,0.9475465313028765,0.5630252100840336
100,2,500,4,2,44.38519894701383,0.9475465313028765,0.5714285714285714
100,2,250,6,2,44.38943599554098,0.9475465313028765,0.5630252100840336
200,1,500,4,2,44.400231280399225,0.9579124579124579,0.5798319327731093
250,2,250,5,2,44.42340028696295,0.9475465313028765,0.5882352941176471
100,2,500,5,2,44.44102846406671,0.9475465313028765,0.5714285714285714
100,2,500,6,2,44.45616449867056,0.9475465313028765,0.5714285714285714
250,2,250,6,2,44.45666752845724,0.9475465313028765,0.5798319327731093
250,2,500,6,2,44.51106066938625,0.9475465313028765,0.5714285714285714
250,2,250,4,2,44.554510756912556,0.9475465313028765,0.5798319327731093
250,2,500,5,2,44.58346119626348,0.9475465313028765,0.5882352941176471
200,1,250,4,2,44.639375896153176,0.9562289562289562,0.5798319327731093
250,2,500,4,2,44.660226632096695,0.9475465313028765,0.5798319327731093
350,2,500,6,2,44.67510283454983,0.9560067681895094,0.5714285714285714
350,2,250,6,2,44.70371155679862,0.9576988155668359,0.5798319327731093
350,2,250,5,2,44.7752019113626,0.9560067681895094,0.5714285714285714
350,2,500,5,2,44.7875608849831,0.9560067681895094,0.5630252100840336
350,1,250,5,2,44.92219253434806,0.9595959595959596,0.5714285714285714
350,1,250,6,2,44.955134956442066,0.9595959595959596,0.5882352941176471
350,1,500,5,2,44.99265343214748,0.9579124579124579,0.5798319327731093
350,1,500,6,2,45.002944643834425,0.9595959595959596,0.5882352941176471
400,2,250,4,2,45.0095722106825,0.9526226734348562,0.5966386554621849
400,2,500,4,2,45.03180936132036,0.9543147208121827,0.5966386554621849
300,2,250,4,2,45.43571480412242,0.9543147208121827,0.5630252100840336
400,2,250,6,2,45.450292128718935,0.9441624365482234,0.5714285714285714
400,2,500,6,2,45.497660248747685,0.9458544839255499,0.5798319327731093
300,2,500,4,2,45.57090135966482,0.9543147208121827,0.5630252100840336
400,2,500,5,2,45.76347317556701,0.9458544839255499,0.5966386554621849
400,2,250,5,2,45.76715094032014,0.9441624365482234,0.5882352941176471
200,4,250,6,2,45.78524886780804,0.947008547008547,0.5982905982905983
350,4,500,4,2,45.84170125285294,0.9606837606837607,0.5641025641025641
200,4,500,6,2,45.8572306793768,0.9435897435897436,0.5897435897435898
350,4,250,4,2,45.86109233193018,0.9606837606837607,0.5677966101694916
450,1,500,4,2,45.88169566942606,0.9545454545454546,0.5798319327731093
200,4,500,5,2,45.9008659225377,0.9435897435897436,0.5982905982905983
450,1,250,4,2,45.913867740574375,0.9528619528619529,0.5798319327731093
200,4,250,5,2,45.93647563703582,0.9435897435897436,0.5982905982905983
150,1,500,4,2,46.11754369972633,0.9528619528619529,0.5630252100840336
200,4,500,4,2,46.1451480924264,0.9418803418803419,0.5982905982905983
150,1,250,4,2,46.168238029511926,0.9545454545454546,0.5630252100840336
300,1,250,4,2,46.16906312488325,0.9511784511784511,0.5714285714285714
150,1,500,5,2,46.16974731989311,0.9511784511784511,0.5630252100840336
300,1,500,4,2,46.20485608370494,0.9511784511784511,0.5714285714285714
250,4,250,5,2,46.20500792234749,0.9435897435897436,0.5726495726495726
150,1,250,5,2,46.21098207894694,0.9511784511784511,0.5714285714285714
250,4,500,5,2,46.265946781100794,0.9435897435897436,0.5641025641025641
200,4,250,4,2,46.27728701282447,0.9418803418803419,0.5897435897435898
250,4,250,4,2,46.316838585752194,0.9418803418803419,0.5555555555555556
300,2,250,5,2,46.32234861603681,0.9526226734348562,0.5546218487394958
150,2,250,4,2,46.344555527582806,0.9526226734348562,0.5546218487394958
250,4,500,6,2,46.35761412122696,0.9435897435897436,0.5641025641025641
150,2,500,4,2,46.35964660478595,0.9509306260575296,0.5583333333333333
300,1,250,5,2,46.36527235834431,0.9545454545454546,0.5714285714285714
250,4,250,6,2,46.37295824117875,0.9435897435897436,0.5641025641025641
300,1,500,5,2,46.37361644988147,0.9545454545454546,0.5714285714285714
250,4,500,4,2,46.394727737022706,0.9435897435897436,0.5555555555555556
300,2,500,5,2,46.42339872123835,0.9526226734348562,0.5546218487394958
350,4,250,5,2,46.485935355301585,0.9452991452991453,0.5555555555555556
150,1,500,6,2,46.51456561630986,0.9511784511784511,0.5630252100840336
350,4,500,5,2,46.53213874505567,0.9452991452991453,0.5641025641025641
300,1,250,6,2,46.54418172735846,0.9511784511784511,0.5714285714285714
150,1,250,6,2,46.55192341858866,0.9511784511784511,0.5630252100840336
300,1,500,6,2,46.59021640009769,0.9511784511784511,0.5714285714285714
100,4,250,6,2,46.62036931331218,0.9418803418803419,0.5470085470085471
350,4,500,6,2,46.66480230053034,0.9452991452991453,0.5555555555555556
300,2,250,6,2,46.6725630941059,0.9475465313028765,0.5546218487394958
100,4,500,4,2,46.67868142927963,0.9401709401709402,0.5555555555555556
100,4,250,4,2,46.68182645928231,0.9401709401709402,0.5508474576271186
100,4,500,6,2,46.68580865563859,0.9418803418803419,0.5641025641025641
100,4,250,5,2,46.688117224759395,0.9367521367521368,0.5470085470085471
300,4,500,4,2,46.69325530262839,0.9487179487179487,0.5470085470085471
150,2,500,5,2,46.70677298663528,0.949238578680203,0.5630252100840336
300,2,500,6,2,46.71440401862279,0.9475465313028765,0.5546218487394958
300,4,250,4,2,46.72654628593968,0.9521367521367521,0.5555555555555556
100,4,500,5,2,46.72915534267811,0.9367521367521368,0.5555555555555556
350,4,250,6,2,46.75128630615321,0.9452991452991453,0.5555555555555556
300,4,250,5,2,46.7617680411169,0.9572649572649573,0.5555555555555556
400,4,250,4,2,46.767155047415116,0.947008547008547,0.5641025641025641
150,2,250,5,2,46.80026789357134,0.949238578680203,0.5630252100840336
400,4,500,4,2,46.83278364668697,0.9487179487179487,0.5641025641025641
150,2,500,6,2,46.85243281002213,0.9475465313028765,0.5630252100840336
450,1,500,6,2,46.8549460479422,0.9511784511784511,0.5798319327731093
450,1,500,5,2,46.85548437296091,0.9528619528619529,0.5798319327731093
300,4,500,5,2,46.86466742768783,0.9538461538461539,0.5470085470085471
450,1,250,6,2,46.911568735372576,0.9511784511784511,0.5714285714285714
150,2,250,6,2,46.91986375224186,0.9475465313028765,0.5630252100840336
150,4,250,4,2,46.95252080221966,0.9538461538461539,0.5470085470085471
450,1,250,5,2,46.956418359835396,0.9528619528619529,0.5798319327731093
300,4,250,6,2,46.995840447351625,0.9555555555555556,0.5555555555555556
300,4,500,6,2,47.032152941888214,0.9555555555555556,0.5470085470085471
150,4,500,4,2,47.038535671964475,0.9538461538461539,0.5470085470085471
150,4,250,6,2,47.16256378387748,0.9538461538461539,0.5470085470085471
150,4,250,5,2,47.16313476935693,0.9538461538461539,0.5470085470085471
150,4,500,5,2,47.196283031419476,0.9538461538461539,0.5470085470085471
400,4,250,5,2,47.24221153444733,0.9452991452991453,0.5726495726495726
400,4,500,5,2,47.2623076598536,0.9435897435897436,0.5726495726495726
400,4,250,6,2,47.26336066438856,0.9452991452991453,0.5555555555555556
150,4,500,6,2,47.26907629702891,0.9521367521367521,0.5384615384615384
400,4,500,6,2,47.33352677986806,0.9435897435897436,0.5641025641025641
450,2,500,4,2,48.52310383275428,0.9255499153976311,0.5378151260504201
450,2,250,4,2,48.901530075926146,0.9238578680203046,0.5378151260504201
450,2,500,5,2,49.298143607217156,0.9289340101522843,0.5378151260504201
450,2,500,6,2,49.58112578939036,0.9255499153976311,0.5416666666666666
