window,neurons,learning_rate,batch_size,rmse
4,16,0.0001,2,53.848118924101264
4,16,0.0001,4,63.2563085217463
4,16,0.0005,2,66.03385116963473
8,32,0.0001,2,68.41311846992693
4,32,0.0001,2,70.75128752607273
12,16,0.0001,2,84.9837193418181
12,32,0.0001,2,87.0998079707375
8,16,0.0001,2,87.7094597050217
8,32,0.0001,4,90.41208834393089
4,32,0.0005,2,90.58832142748344
4,32,0.0001,4,95.76216006904696
16,32,0.0001,2,102.65124042341485
16,16,0.0001,2,103.00492663747694
4,16,0.0005,4,105.8655816988352
12,32,0.0005,2,106.48545632619697
8,16,0.0005,2,107.97427066173962
16,16,0.0005,2,109.95310233569782
16,32,0.0001,4,112.93784878433615
12,16,0.0005,2,113.45575156635151
8,16,0.0001,4,113.55422904475668
12,16,0.0001,4,115.44008486657314
8,16,0.0005,4,115.45590400225349
8,32,0.0005,2,120.36636540232497
12,16,0.0005,4,125.70654057499283
4,32,0.0005,4,126.15920643098455
12,32,0.0001,4,139.50048159097472
16,16,0.0001,4,151.87767872115992
16,32,0.0005,2,153.72873034710202
8,32,0.0005,4,157.14283439747535
16,16,0.0005,4,185.4171720670034
16,32,0.0005,4,231.48672525163562
12,32,0.0005,4,280.8504779449385
